date,oldTime,time_Combined,time_Unix,time,latitude,longitude,xcoord,ycoord,broadway,subway,male,race,perstop,age,frisked,searched,arstmade,sumissue,contrabn,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other
1/1/15,0:10,1/1/15 0:10,1420071000,600,40.7559505,-73.9907272,986819,214690,0,0,1,Hispanic,5,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,0:50,1/1/15 0:50,1420073400,3000,40.6327004,-74.1662988,938092,169830,0,0,1,Black,5,16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/1/15,1:15,1/1/15 1:15,1420074900,4500,40.8043758,-73.9374202,1001575,232339,0,1,1,Black,45,26,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/1/15,1:30,1/1/15 1:30,1420075800,5400,40.7960032,-73.9354092,1002134,229289,0,0,1,Black,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,1:40,1/1/15 1:40,1420076400,6000,40.7535244,-73.9945354,985764,213806,0,0,1,Black,20,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,2:25,1/1/15 2:25,1420079100,8700,40.76601,-73.9088396,1009502,218368,0,0,1,Hispanic,15,23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/1/15,2:29,1/1/15 2:29,1420079340,8940,40.8439565,-73.9358433,1002001,246760,0,0,1,Hispanic,1,19,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1/1/15,2:30,1/1/15 2:30,1420079400,9000,40.8185708,-73.9413305,1000489,237510,0,0,0,Black,5,99,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/1/15,2:40,1/1/15 2:40,1420080000,9600,40.693823,-73.9430991,1000029,192060,0,0,,Other,5,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/1/15,3:00,1/1/15 3:00,1420081200,10800,40.6435525,-73.9926635,986286,173740,0,0,1,Hispanic,5,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,3:00,1/1/15 3:00,1420081200,10800,40.6435525,-73.9926635,986286,173740,0,0,1,Hispanic,5,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,3:00,1/1/15 3:00,1420081200,10800,40.6435525,-73.9926635,986286,173740,0,0,1,Hispanic,5,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,3:15,1/1/15 3:15,1420082100,11700,40.5957078,-73.9429594,1000091,156314,0,0,1,White,10,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,3:15,1/1/15 3:15,1420082100,11700,40.7645902,-73.9045132,1010701,217852,0,0,0,Hispanic,10,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,3:15,1/1/15 3:15,1420082100,11700,40.7645902,-73.9045132,1010701,217852,0,0,1,White,10,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,3:15,1/1/15 3:15,1420082100,11700,40.6170012,-73.9469934,998966,164071,0,0,1,White,10,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,4:30,1/1/15 4:30,1420086600,16200,40.6857589,-73.8275005,1032091,189164,0,0,1,Other,5,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,4:50,1/1/15 4:50,1420087800,17400,40.813462,-73.9102088,1009105,235656,0,0,1,Black,2,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/1/15,5:30,1/1/15 5:30,1420090200,19800,40.7604049,-73.9874743,987720,216313,0,0,1,Black,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,13:50,1/1/15 13:50,1420120200,49800,40.7776879,-73.9823475,989139,222610,1,1,1,Black,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1/1/15,14:00,1/1/15 14:00,1420120800,50400,40.6360874,-73.9509055,997876,171024,0,0,1,Black,5,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1/1/15,14:10,1/1/15 14:10,1420121400,51000,40.8242839,-73.8904879,1014559,239605,0,0,1,Hispanic,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,14:10,1/1/15 14:10,1420121400,51000,40.8242839,-73.8904879,1014559,239605,0,0,,Other,15,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,15:55,1/1/15 15:55,1420127700,57300,40.6674254,-73.8889791,1015049,182457,0,0,0,Hispanic,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,15:55,1/1/15 15:55,1420127700,57300,40.6674254,-73.8889791,1015049,182457,0,0,1,Hispanic,5,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
